Family_ID	Gene_Count	Core_Status	Protein_Anchor_Orthogroups
fam352	3	PARTIAL	myID2222,myID2223,myID2224,myID2225,myID2226,myID2227,myID2228
fam353	7	CORE	myID2406,myID2407,myID2408,myID2409,myID2410,myID2411,myID2412,myID2413,myID2414,myID2415,myID2416
fam354	3	PARTIAL	myID1489,myID1490,myID1491,myID1492,myID1493
fam355	2	PARTIAL	myID1240,myID1241,myID1242,myID1243,myID1244,myID1245
fam356	3	PARTIAL	myID3865,myID3866,myID3867,myID3868,myID3869,myID3870,myID3871,myID3872
fam357	2	PARTIAL	myID2001,myID2002,myID2003,myID2004,myID2005,myID2006
fam358	2	PARTIAL	myID1774,myID1775,myID1776,myID1777,myID1778,myID1779,myID1780,myID1781
fam359	4	PARTIAL	myID3815,myID3816,myID3817,myID3818
fam360	4	PARTIAL	myID993,myID994,myID995
fam361	2	PARTIAL	myID4627,myID4628,myID4629,myID4630,myID4631
fam362	5	CORE	myID853,myID854,myID855,myID856,myID857,myID858,myID859,myID860,myID861,myID862
fam363	7	PARTIAL	myID3527,myID3528,myID3529,myID3530,myID3531,myID3532,myID3533,myID3534
fam364	2	PARTIAL	myID2042,myID2043,myID2044,myID2045,myID2046
fam365	3	PARTIAL	myID4023,myID4024,myID4025,myID4026,myID4027,myID4028,myID4029
fam366	2	PARTIAL	myID4000,myID4001,myID4002
fam367	3	PARTIAL	myID2889,myID2890,myID2891,myID2895
fam368	2	PARTIAL	myID2693,myID2694,myID2695
fam369	3	PARTIAL	myID4897,myID4898,myID4899
fam370	3	PARTIAL	myID251,myID252
fam371	10	CORE	myID3098,myID3099,myID3100,myID3101,myID3102,myID3103
fam372	13	CORE	myID3948,myID3949,myID3950,myID3951,myID3952,myID3953,myID3954,myID3955,myID3956,myID3957,myID3964,myID3965,myID3966
fam373	2	PARTIAL	myID1031,myID1032,myID1033
fam374	3	PARTIAL	myID2935,myID2936,myID2941,myID2942
fam375	5	CORE	myID2973,myID2974,myID2975,myID2976,myID2977,myID2978,myID2979
fam376	2	PARTIAL	myID4936,myID4937
fam377	8	CORE	myID240,myID241,myID249,myID250,myID251,myID252
fam378	3	PARTIAL	myID4171,myID4172,myID4173,myID4174,myID4175
fam379	2	PARTIAL	myID2690,myID2691,myID2692,myID2693
fam380	2	PARTIAL	myID317,myID338,myID339
fam381	11	CORE	myID2776,myID2777,myID2778,myID2780,myID2782,myID2783,myID2784,myID2785,myID2786,myID2787,myID2788,myID2789
fam382	4	PARTIAL	myID3353,myID3354,myID3355,myID3356,myID3357,myID3358,myID3359
fam383	2	PARTIAL	myID567,myID568,myID569,myID570,myID571
fam384	3	PARTIAL	myID4092,myID4093,myID4094,myID4095,myID4096,myID4097
fam385	3	PARTIAL	myID2431,myID2432,myID2433,myID2434,myID2435,myID2436
fam386	3	PARTIAL	myID2848,myID2849,myID2850,myID2851,myID2852,myID2853
fam387	3	PARTIAL	myID3710,myID3711,myID3712,myID3713,myID3714,myID3715
fam388	2	PARTIAL	myID3073
fam389	3	PARTIAL	myID2838,myID2839,myID2840,myID2841
fam390	3	PARTIAL	myID4676,myID4677,myID4678
fam391	2	PARTIAL	myID793,myID794,myID795,myID796,myID797,myID798,myID799
fam392	6	PARTIAL	myID5079,myID5080,myID5081,myID5083,myID5084,myID5085,myID5086
fam393	5	PARTIAL	myID1921,myID1922,myID1923,myID1924
fam394	2	PARTIAL	myID3327,myID3328,myID3329,myID3330
fam395	2	PARTIAL	myID4195,myID4196,myID4197,myID4198
fam396	2	PARTIAL	myID4634,myID4635,myID4636
fam397	2	PARTIAL	myID3084,myID3085,myID3086,myID3087,myID3088,myID3089,myID3090
fam398	2	PARTIAL	myID2716,myID2717,myID2718,myID2719
fam399	5	CORE	myID2501,myID2502,myID2503,myID2504,myID2505,myID2506,myID2507
fam400	2	PARTIAL	myID5210,myID5211,myID5212,myID5215,myID5216,myID5217,myID5218
fam401	5	PARTIAL	myID4847,myID4848,myID4849,myID4850,myID4851
fam402	2	PARTIAL	myID1911,myID1912,myID1913,myID1914
fam403	5	PARTIAL	myID4201,myID4202,myID4203,myID4204
fam404	3	PARTIAL	myID861,myID862,myID863,myID864
fam405	2	PARTIAL	myID2093,myID2094,myID2095,myID2096,myID2097,myID2098
fam406	2	PARTIAL	myID4473,myID4474,myID4475,myID4476,myID4477,myID4478
fam407	3	PARTIAL	myID5075,myID5076,myID5077,myID5078
fam408	4	CORE	myID2561,myID2562,myID2563,myID2564,myID2565
fam409	5	PARTIAL	myID3504,myID3506,myID3507,myID3508,myID3509,myID3510
fam410	8	CORE	myID1799,myID1800,myID1801,myID1802,myID1803,myID1804
fam411	6	CORE	myID1438,myID1440,myID1441,myID1442
fam412	3	PARTIAL	myID1456,myID1457,myID1458,myID1459,myID1460,myID1468
fam413	3	PARTIAL	myID639,myID640,myID641,myID642,myID643
fam414	4	PARTIAL	myID3429,myID3430,myID3431,myID3432,myID3433,myID3434,myID3435,myID3436,myID3437
fam415	2	PARTIAL	myID4003,myID4004,myID4005
fam416	3	PARTIAL	myID2157,myID2158,myID2159,myID2160,myID2161,myID2162
fam417	5	PARTIAL	myID521,myID522,myID523,myID524,myID525,myID526,myID527
fam418	4	PARTIAL	myID4287,myID4288,myID4289,myID4290,myID4291,myID4292
fam419	2	PARTIAL	myID464,myID465,myID466,myID467,myID468,myID469
fam420	7	CORE	myID2900,myID2901,myID2902,myID2903,myID2904,myID2905,myID2906,myID2907,myID2908,myID2909
fam421	4	PARTIAL	myID578,myID579,myID580,myID581,myID582,myID583,myID584,myID585,myID588,myID589,myID590
fam422	2	PARTIAL	myID4529,myID4530,myID4531,myID4532,myID4533,myID4534
fam423	4	PARTIAL	myID37,myID38,myID39
fam424	5	PARTIAL	myID1048,myID1049,myID1050,myID1051
fam425	2	PARTIAL	myID676,myID677,myID678,myID679,myID680
fam426	4	PARTIAL	myID4661,myID4663,myID4665,myID4666
fam427	6	CORE	myID4238,myID4239,myID4240,myID4241,myID4242,myID4243,myID4244
fam428	4	PARTIAL	myID583,myID584,myID585,myID586,myID587,myID588,myID589
fam429	6	CORE	myID2012,myID2013,myID2014,myID2015,myID2016,myID2017
fam430	3	PARTIAL	myID1353,myID1354,myID1355,myID1356
fam431	4	PARTIAL	myID4445,myID4446,myID4447,myID4448,myID4449
fam432	3	PARTIAL	myID124,myID125,myID126,myID127,myID128,myID129
fam433	2	PARTIAL	myID70,myID73,myID74
fam434	3	PARTIAL	myID1694,myID1695,myID1696,myID1697
fam435	3	PARTIAL	myID119,myID120,myID121,myID122,myID123,myID124,myID125,myID126
fam436	3	PARTIAL	myID4945,myID4946,myID4947,myID4948,myID4949
fam437	4	PARTIAL	myID4335,myID4360,myID4361,myID4362
fam438	3	PARTIAL	myID2059,myID2060,myID2061
fam439	2	PARTIAL	myID1815,myID1816,myID1817,myID1818
fam440	6	PARTIAL	myID1258,myID1259,myID4535,myID4536,myID4537
fam441	3	PARTIAL	myID4174,myID4175,myID4176,myID4177,myID4178,myID4179,myID4180
fam442	2	PARTIAL	myID3776,myID3777,myID3778
fam443	3	PARTIAL	myID3701,myID3702,myID3703,myID3704,myID3705,myID3706
fam444	3	PARTIAL	myID199,myID200,myID201,myID202,myID203,myID204
fam445	3	PARTIAL	myID391,myID392,myID393,myID394
fam446	7	PARTIAL	myID1299,myID1300,myID1301,myID1302,myID1303
fam447	5	CORE	myID933,myID934,myID935,myID936,myID937,myID942,myID943,myID944,myID945,myID946,myID947
fam448	2	PARTIAL	myID3555,myID3556,myID3557,myID3558,myID3559
fam449	3	PARTIAL	myID3407,myID3408,myID3409,myID3410,myID3411,myID3412
fam450	2	PARTIAL	myID536,myID537,myID538,myID539,myID540,myID541
fam451	4	PARTIAL	myID11,myID12,myID13,myID14,myID15,myID16,myID17,myID18
fam452	3	PARTIAL	myID5091,myID5092,myID5093,myID5094,myID5096
fam453	2	PARTIAL	myID4310,myID4311,myID4312,myID4313,myID4314,myID4315,myID4316,myID4317
fam454	2	PARTIAL	myID1419,myID1421,myID1422,myID1423,myID1424,myID1425
fam455	3	PARTIAL	myID2492,myID2493,myID2494,myID2495,myID2496,myID2497
fam456	5	PARTIAL	myID4210,myID4211,myID4212,myID4213,myID4214,myID4215,myID4216,myID4217,myID4218,myID4219
fam457	3	PARTIAL	myID4497,myID4498
fam458	2	PARTIAL	myID3869,myID3870,myID3871,myID3872,myID3873,myID3874,myID3875
fam459	7	PARTIAL	myID226,myID227,myID228,myID229,myID230,myID232
fam460	2	PARTIAL	myID1793,myID1797,myID1798,myID1799,myID1800
fam461	2	PARTIAL	myID3319,myID3320,myID3321,myID3322
fam462	3	PARTIAL	myID3736,myID3737,myID3738,myID3739,myID3740,myID3741,myID3742
fam463	2	PARTIAL	myID4262,myID4263,myID4264,myID4265
fam464	3	PARTIAL	myID4608,myID4609,myID4610,myID4611,myID4612
fam465	3	PARTIAL	myID4868,myID4869,myID4870,myID4871,myID4872
fam466	2	PARTIAL	myID1116,myID1117,myID1118,myID1119
fam467	4	PARTIAL	myID1262,myID1263,myID1264,myID1265,myID1266,myID1267,myID1268
fam468	3	PARTIAL	myID290,myID291,myID292,myID293,myID301,myID302
fam469	4	PARTIAL	myID1852,myID1853,myID1854,myID1855
fam470	2	PARTIAL	
fam471	2	PARTIAL	myID2434,myID2435,myID2436,myID2437,myID2438,myID2439
fam472	2	PARTIAL	myID4149,myID4150,myID4151,myID4152,myID4153
fam473	5	CORE	myID2299,myID2300,myID2301,myID2302,myID2303
fam474	2	PARTIAL	myID1328,myID1329
fam475	6	PARTIAL	myID4277,myID4278,myID4279,myID4280,myID4281
fam476	4	PARTIAL	myID3175,myID3176,myID3177,myID3178,myID3179,myID3180,myID3182,myID3183
fam477	2	PARTIAL	myID348,myID349,myID350,myID351,myID352,myID353,myID354,myID355
fam478	3	PARTIAL	myID4391,myID4392,myID4393,myID4394,myID4395,myID4396,myID4410
fam479	9	CORE	myID293,myID294,myID295,myID296,myID297,myID298,myID299,myID303,myID305
fam480	4	PARTIAL	myID2944,myID2945,myID2946,myID2947,myID2948
fam481	5	PARTIAL	myID5038,myID5039,myID5040,myID5041
fam482	4	PARTIAL	myID1196,myID1197,myID1198,myID1199,myID1200,myID1201,myID1202
fam483	2	PARTIAL	myID1648,myID1653,myID1654,myID1655,myID1656,myID1657
fam484	6	PARTIAL	myID3853,myID3854,myID3855,myID3856,myID3857,myID3858,myID3859,myID3860,myID3861,myID3862
fam485	2	PARTIAL	myID4682,myID4683,myID4692,myID4693,myID4694
fam486	10	CORE	myID3893,myID3894,myID3895,myID3896,myID3897,myID3898,myID3899,myID3900,myID3901
fam487	4	PARTIAL	myID775,myID776,myID777
fam488	5	PARTIAL	myID1769,myID1770,myID1771,myID1772,myID1773
