Family_ID	Gene_Count	Core_Status	Protein_Anchor_Orthogroups
fam82	2	PARTIAL	myID1373,myID1374,myID1375,myID1376,myID1377,myID1378
fam83	5	CORE	myID2966,myID2967,myID2968,myID2969,myID2970,myID2971,myID2972,myID2973,myID2974
fam84	4	PARTIAL	myID3451,myID3452,myID3455,myID3456,myID3457
fam85	3	PARTIAL	myID2854,myID2855,myID2856,myID2857,myID2858,myID2859
fam86	5	PARTIAL	myID2534,myID2535,myID2536,myID2537,myID2538,myID2539,myID2540
fam87	2	PARTIAL	myID1389,myID1390,myID1391,myID1392,myID1393,myID1394
fam88	5	PARTIAL	myID1239,myID1240,myID1241
fam89	3	PARTIAL	myID4759,myID4760
fam90	4	PARTIAL	myID3362,myID3363,myID3364,myID3365
fam91	3	PARTIAL	myID4132,myID4133,myID4134,myID4135,myID4147
fam92	4	PARTIAL	myID3624,myID3625,myID3626,myID3627,myID3628,myID3629
fam93	6	PARTIAL	myID5191,myID5192,myID5193,myID5194,myID5195,myID5196,myID5197,myID5198,myID5199,myID5200,myID5201,myID5202
fam94	6	PARTIAL	myID4976,myID4977,myID4978,myID4979,myID4980,myID4981,myID4982,myID4983,myID4984
fam95	4	PARTIAL	myID3157,myID3167,myID3168,myID3169,myID3170,myID3171,myID3172,myID3173
fam96	4	PARTIAL	myID3762,myID3763,myID3764,myID3765,myID3766,myID3767
fam97	7	CORE	myID3182,myID3183,myID3184,myID3185
fam98	7	PARTIAL	myID416,myID417,myID418,myID419,myID420,myID421,myID422,myID423
fam99	3	PARTIAL	myID2421,myID2422,myID2423,myID2424,myID2425,myID2426
fam100	3	PARTIAL	myID1542,myID1543,myID1544,myID1545,myID1546
fam101	2	PARTIAL	myID2517,myID2518,myID2519,myID2520,myID2521,myID2522
fam102	3	PARTIAL	myID3371,myID4785,myID4786,myID4787
fam103	2	PARTIAL	myID4881,myID4882,myID4886
fam104	3	PARTIAL	myID4982,myID4983,myID4984,myID4985,myID4986
fam105	4	PARTIAL	myID814,myID815,myID816,myID817,myID818,myID819
fam106	6	PARTIAL	myID1242,myID1243,myID1244,myID1245,myID1246,myID1247
fam107	3	PARTIAL	myID3743,myID3744,myID3745,myID3746,myID3747
fam108	2	PARTIAL	myID3067,myID3068,myID3069,myID3070,myID3071,myID3072
fam109	2	PARTIAL	myID1603,myID1604,myID1605,myID1606,myID1607,myID1608
fam110	2	PARTIAL	myID1830,myID1831,myID1832,myID1833,myID1879
fam111	3	PARTIAL	myID4626,myID4627,myID4628,myID4629
fam112	3	PARTIAL	myID2450,myID2451,myID2452,myID2453,myID2454,myID2455,myID2456
fam113	6	PARTIAL	myID5300,myID5301,myID5302,myID5303,myID5304,myID5305,myID5306
fam114	3	PARTIAL	myID4156,myID4157,myID4158,myID4159,myID4160
fam115	3	PARTIAL	myID4723,myID4724,myID4725,myID4726,myID4727,myID4728,myID4729
fam116	2	PARTIAL	myID5140,myID5141,myID5142,myID5143,myID5144
fam117	5	PARTIAL	myID1177,myID1178,myID1179,myID1180,myID1181
fam118	3	PARTIAL	myID2991,myID2992,myID2993,myID2994,myID2995
fam119	3	PARTIAL	myID1567,myID1568,myID1569,myID1570
fam120	2	PARTIAL	myID4295,myID4296,myID4297
fam121	2	PARTIAL	myID3025,myID3026,myID3027,myID3028,myID3029,myID3030,myID3031
fam122	2	PARTIAL	myID4762
fam123	4	PARTIAL	myID2316,myID2317,myID2318,myID2319,myID2320,myID2321,myID2322,myID2323,myID2327
fam124	2	PARTIAL	myID5182,myID5183,myID5184,myID5185,myID5187
fam125	3	PARTIAL	myID5077,myID5078,myID5079,myID5080
fam126	6	CORE	myID101,myID102,myID104,myID105
fam127	2	PARTIAL	myID4647,myID4648,myID4649
fam128	2	PARTIAL	myID3905,myID3906,myID3907,myID3908,myID3909
fam129	8	CORE	myID4930,myID4931,myID4932,myID4933,myID4934,myID4935
fam130	5	PARTIAL	myID2662,myID2663,myID2664,myID2665,myID2666,myID2667,myID2671
fam131	6	PARTIAL	myID2197,myID2198,myID2199,myID2200,myID2201,myID2202
fam132	4	PARTIAL	myID708,myID709,myID710,myID711,myID712,myID713,myID714
fam133	2	PARTIAL	myID4142,myID4143,myID4144,myID4145,myID4146
fam134	4	PARTIAL	myID2713,myID2714
fam135	2	PARTIAL	myID4721,myID4722,myID4723,myID4724
fam136	3	PARTIAL	myID1635,myID1636,myID1637,myID1638,myID1639,myID1640
fam137	10	CORE	myID1662,myID1663,myID1664,myID1665,myID1666,myID1667
fam138	5	PARTIAL	myID3384,myID3385,myID3386,myID3387,myID3388,myID3389
fam139	2	PARTIAL	myID4618,myID4619,myID4620,myID4621,myID4622,myID4623
fam140	3	PARTIAL	myID2229,myID2230,myID2231,myID2232,myID2233
fam141	3	PARTIAL	myID2446,myID2447,myID2448,myID2449,myID2450,myID2451
fam142	4	PARTIAL	myID4822,myID4823,myID4824,myID4825,myID4826,myID4827,myID4828,myID4829
fam143	3	PARTIAL	
fam144	2	PARTIAL	myID148,myID149,myID150,myID151,myID152,myID153
fam145	3	PARTIAL	myID3109,myID3112,myID3113,myID3117,myID3118
fam146	3	PARTIAL	myID5028,myID5029,myID5030,myID5031,myID5032,myID5033
fam147	2	PARTIAL	myID2525,myID2526,myID2527,myID2528,myID2529,myID2530
fam148	2	PARTIAL	myID5167,myID5168,myID5169,myID5170,myID5171,myID5172
fam149	5	PARTIAL	myID5173,myID5174,myID5175,myID5176,myID5177,myID5178
fam150	2	PARTIAL	myID5110,myID5111,myID5112
fam151	4	PARTIAL	myID1562,myID1563,myID1564,myID1565,myID1566,myID1567
fam152	4	PARTIAL	myID1889,myID1890,myID1891,myID1892,myID1894
fam153	4	PARTIAL	myID3188,myID3189,myID3190,myID3191,myID3192,myID3193,myID3194
fam154	8	PARTIAL	myID4735,myID4736,myID4737,myID4738,myID4739,myID4740,myID4741,myID4742,myID4743
fam155	4	PARTIAL	myID4659,myID4660
fam156	2	PARTIAL	myID759,myID760,myID761,myID762,myID763
fam157	3	PARTIAL	myID3193,myID3194,myID3195,myID3196,myID3197,myID3198,myID3199
fam158	6	CORE	myID1708,myID1709,myID1710,myID1711,myID1712
fam159	2	PARTIAL	myID5006,myID5007,myID5008,myID5009,myID5010,myID5011,myID5012,myID5013
fam160	2	PARTIAL	myID867,myID868,myID869,myID870,myID871
fam161	2	PARTIAL	myID1978,myID1979,myID1980,myID1981,myID1982,myID1983
fam162	2	PARTIAL	myID4864,myID4865,myID4866,myID4867
fam163	3	PARTIAL	myID105,myID106
fam164	3	PARTIAL	myID4720
fam165	3	PARTIAL	myID2840,myID2841,myID2842,myID2843,myID2844
fam166	2	PARTIAL	myID4077,myID4078,myID4079,myID4080,myID4081,myID4082
fam167	4	PARTIAL	myID2621,myID2622,myID2623,myID2624,myID2625
fam168	4	PARTIAL	myID3570,myID3571,myID3572,myID3573,myID3574,myID3575
fam169	6	PARTIAL	myID4380,myID4381,myID4382,myID4383,myID4384
fam170	2	PARTIAL	myID1347,myID1348,myID1349,myID1350,myID1351,myID1361
fam171	4	PARTIAL	myID1222,myID1223,myID1224,myID1225,myID1226,myID1227,myID1228,myID1229,myID1230
fam172	8	CORE	myID441,myID442,myID443,myID444,myID445
fam173	6	PARTIAL	myID5314,myID5315,myID5316,myID5317,myID5318,myID5319
fam174	5	CORE	myID2212,myID2213,myID2214,myID2215,myID2216,myID2217,myID2218
fam175	4	PARTIAL	myID1184,myID1185,myID1186,myID1187,myID1188,myID1189
fam176	6	CORE	myID827,myID828,myID829,myID830,myID831,myID832,myID833
fam177	4	PARTIAL	myID514,myID515,myID516,myID517,myID518,myID519
fam178	4	PARTIAL	myID1677,myID1678,myID1679,myID1680,myID1681,myID1682
